SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IN;;;;;;2026-08-31-06.43.42.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;18118 - FRALDAO;;Produto;;18118;2026-08-31-06.43.43.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;4303 - ALCATRA C MAMINHA;;Produto;;4303;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;12139 - MIOLO DA ALCATRA;;Produto;;12139;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;15979 - CUPIM B RESFRIADO;;Produto;;15979;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;1090 - CHA DE FORA S OSSO;;Produto;;1090;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;5391 - P A DE BOI;;Produto;;5391;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;5834 - DIANTEIRO BOI LEVE;;Produto;;5834;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;2563 - TRASEIRO BOI;;Produto;;2563;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IP;16916 - DIANTEIRO BOI;;Produto;;16916;2026-08-31-06.43.44.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IV;;28;Vencimento;;01/09/2026;2026-08-31-06.43.45.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Indica se importa ou exporta;;N;2026-08-31-06.44.11.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Indica se suspende PIS/COFINS;;N;2026-08-31-06.44.11.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Indica campo onde soma despesa não tributada;;I;2026-08-31-06.44.11.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Número empresa devolução;;41;2026-08-31-06.44.11.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Indica se considera local carga anterior (quAndo a nota possuir itens de selção inversa, e a mesma for desintegrada);;N;2026-08-31-06.44.13.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Data e hora lançamento;31/08/2026 06:43:34;31/08/2026 06:44:12;2026-08-31-06.44.13.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;LN;;;Nota foi liberada;C;L;2026-08-31-06.44.13.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IN;;;;;;2026-08-31-06.46.42.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;887 - MASSA BASE BOLO LARANJA;;Produto;;887;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;1714 - MASSA BASE BOLO NOZES M;;Produto;;1714;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;1894 - MASSA BASE BRANCA BOLO;;Produto;;1894;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;2743 - MASSA BASE CHOC BOLO FR;;Produto;;2743;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;4017 - MASSA BASE CHOC BOLO RO;;Produto;;4017;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;5266 - MASSA BASE BOLO LIMAO F;;Produto;;5266;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;5453 - MASSA BASE BRANCA BOLO;;Produto;;5453;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;10621 - MASSA BASE CHOC BOLO XA;;Produto;;10621;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;13513 - MASSA BASE BOLO INDIANO;;Produto;;13513;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;13960 - MASSA BASE BOLO CENOURA;;Produto;;13960;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;16058 - MASSA BASE BRANCA BOLO;;Produto;;16058;2026-08-31-06.46.44.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;IP;16227 - MASSA BASE BOLO MARACUJ;;Produto;;16227;2026-08-31-06.46.45.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86725;1;R001-EMP.CALHAU;2218;3;4;4 - FRIBAL COHAMA;E;AN;;;Data vencimento;31/08/2026;;2026-08-31-06.46.45.000000;2003174;205009-DESKTOP-;9;26.01.18;21260807555950000474550030000022181672799384
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AN;;;Número da carga de conferência;;59051;2026-08-31-06.47.20.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;CG;;;Carga gerada para conferência;;59051;2026-08-31-06.47.20.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;CO;;;Carga em conferência;G;O;2026-08-31-06.48.57.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;1090 - CHA DE FORA S OSSO;;Quantidade conferida;;42.38;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;2563 - TRASEIRO BOI;;Quantidade conferida;;296.4;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;4303 - ALCATRA C MAMINHA;;Quantidade conferida;;19.41;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;5391 - P A DE BOI;;Quantidade conferida;;73.8;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;5834 - DIANTEIRO BOI LEVE;;Quantidade conferida;;48.2;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;12139 - MIOLO DA ALCATRA;;Quantidade conferida;;24.17;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;15979 - CUPIM B RESFRIADO;;Quantidade conferida;;43.2;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;16916 - DIANTEIRO BOI;;Quantidade conferida;;855.8;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;AP;18118 - FRALDAO;;Quantidade conferida;;41.15;2026-08-31-06.49.01.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;IT;;;;;;2026-08-31-06.49.02.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
86724;41;R041-C.OPERARIA;179587;4;10;10 - FRIGORIFICO RIO GRANDE;E;CL;;;Conferência de carga finalizada;O;L;2026-08-31-06.49.05.000000;2006720;205009-DESKTOP-;99;26.01.18;21260807555950001012550040001795871387870550
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;1704 - FILE DE PEITO DE FRANGO;;Exclusão de produto;;;2026-08-31-06.49.38.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;2673 - CORACAO BOVINO;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;4232 - LING TOSC FRANGO C VALE;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;4415 - COSTELA SUINA CONG;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;9675 - CARRE SUINO PESO VARIAV;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;11078 - SALSICHA PERDIGAO HOT D;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;14304 - MOELA DE FRANGO;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;15408 - FIGADO BOVINO;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
84054;41;R041-C.OPERARIA;39019;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;EP;16179 - SALSICHA CONG FRIATO;;Exclusão de produto;;;2026-08-31-06.49.39.000000;2006720;205009-DESKTOP-;9;26.01.18;21260803835761000151550030000390191895496854
