SEQAUXNOTAFISCAL;NROEMPRESA;NOMEREDUZIDO;NUMERONF;SERIENF;SEQPESSOA;NOMEPESSOA;TIPNOTAFISCAL;OPERACAO;PRODUTO;DIASPRAZO;DESCGENERICA;VALORANTIGO;VALORNOVO;DTAHORALTERACAO;USUALTERACAO;TERMINALUSUALTERA;APPORIGEM;VERSAOSISTEMA;NFECHAVEACESSO
81684;4;R004-EMP.COHAMA;37704;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377041629265559
81684;4;R004-EMP.COHAMA;37704;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377041629265559
81685;4;R004-EMP.COHAMA;37705;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377051769561310
81685;4;R004-EMP.COHAMA;37705;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377051769561310
81686;4;R004-EMP.COHAMA;37706;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377061822157066
81686;4;R004-EMP.COHAMA;37706;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377061822157066
81687;4;R004-EMP.COHAMA;37707;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377071144313197
81687;4;R004-EMP.COHAMA;37707;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377071144313197
81693;4;R004-EMP.COHAMA;37713;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377131687401221
81693;4;R004-EMP.COHAMA;37713;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000377131687401221
81674;5;R005-MERC CRV90;37690;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Status de retorno da manIfestação ao destinatário;;135;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000376901330443950
81674;5;R005-MERC CRV90;37690;3;331;331 - COMCARNE MATRIZ SAO LUIS;E;AN;;;Mensagem retorno da manIfestação ao destinatário;;MANIFESTAÇÃO DO DESTINATÁRIO PROCESSADA - Ciencia da Operacao;2026-08-22-00.13.12.000000;SYSTEM;205009-NDD-INST;9;26.01.18;21260803835761000151550030000376901330443950
