NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
41160;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;57;2212,63;RECEBIDA;I;;87689;LIBERADA;;21260903835761000151550030000411601252260575
41161;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;57;1573,21;RECEBIDA;I;;87690;LIBERADA;;21260903835761000151550030000411611996524934
41162;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;59;1470,16;RECEBIDA;I;;87691;LIBERADA;;21260903835761000151550030000411621807285748
41184;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;57;5230,84;RECEBIDA;I;;87713;LIBERADA;;21260903835761000151550030000411841302651396
41185;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;57;1788,58;RECEBIDA;I;;87714;LIBERADA;;21260903835761000151550030000411851523134065
41195;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-02-00.00.00.000000;57;6709,26;RECEBIDA;I;;87724;LIBERADA;;21260903835761000151550030000411951432791892
41083;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-08-31-00.00.00.000000;2026-09-02-00.00.00.000000;51;2602,48;RECEBIDA;I;;87601;LIBERADA;;21260803835761000151550030000410831884790320
3415;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;3625,29;RECEBIDA;I;;87929;LIBERADA;;21260907555950005000550030000034151400482874
3409;3;R001-EMP.CALHAU;50-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;209,4;RECEBIDA;I;;87857;LIBERADA;;21260907555950005000550030000034091199853540
2252;3;R001-EMP.CALHAU;4-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;50;549,75;RECEBIDA;I;;87772;LIBERADA;;21260907555950000474550030000022521945237800
