NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
44837;3;R030-S.BERNARDO;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;3599,69;RECEBIMENTO;R;;93788;;;21260903835761000151550030000448371668990110
310702;7;R064-EMP.THE;6148-ASA BRANCA NORTE DO PIAUI LTDA;2026-09-09-00.00.00.000000;2026-09-10-00.00.00.000000;16;6997,08;RECEBIMENTO;R;;94025;;;22260907457583000476550070003107021039722085
44544;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;55;719,7;RECEBIMENTO;R;;93403;;;21260903835761000151550030000445441160141075
44545;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;55;2096,84;RECEBIMENTO;R;;93404;;;21260903835761000151550030000445451123186602
44546;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;55;1099,5;RECEBIMENTO;R;;93405;;;21260903835761000151550030000445461043005307
85637;20;C001-CD BR;7764-DANONE LTDA;2026-09-04-00.00.00.000000;2026-09-09-00.00.00.000000;1;51105,66;RECEBIMENTO;R;;92861;;;17260923643315008560550200000856371115748981
44760;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;57;5154,39;RECEBIMENTO;R;;93596;;;21260903835761000151550030000447601272434397
42525;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-04-00.00.00.000000;2026-09-04-00.00.00.000000;57;6506,1;RECEBIMENTO;R;;90224;;;21260903835761000151550030000425251305151578
3772887;5;C001-CD BR;2167-FRIMESA COOPERATIVA CENTRAL LT;2026-08-31-00.00.00.000000;2026-09-01-00.00.00.000000;1;107740;CONFERENCIA;C;;88335;GERADA;;41260877595395000228550050037728871216018649
44761;3;R063-MERC STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;57;752,4;RECEBIMENTO;R;;93597;;;21260903835761000151550030000447611815675893
